"Cipher Info","","","","Implementation Info","","","Code Size","","","","","RAM","","","","","","","","","","Execution Time","","",""
"","","","","","","","","","","","Stack","","","","Data","","","",""
"Cipher","Block Size (bits)","Key Size (bits)","Version","Language","Options","EKS (bytes)","E (bytes)","DKS (bytes)","D(bytes)","EKS + E + DKS + D (bytes)","EKS (bytes)","E (bytes)","DKS (bytes)","D (bytes)","EKS (bytes)","E (bytes)","DKS (bytes)","D (bytes)","Common (bytes)","Total (bytes)","EKS (cycles)","E (cycles)","DKS (cycles)","D (cycles)"
"NOEKEON","128","128","12","C",="-O2","44","2200","0","2316","4520","-","-","-","-","-","-","-","-","-","-","22","8435","0","9422"
"NOEKEON","128","128","12","C",="-O1","44","2148","0","2288","4440","-","-","-","-","-","-","-","-","-","-","20","8169","0","9564"
"NOEKEON","128","128","12","C",="-Os","35","2125","0","2265","4391","-","-","-","-","-","-","-","-","-","-","29","8150","0","8573"
"RECTANGLE","64","128","10","C",="-O3","236","444","0","560","1240","-","-","-","-","-","-","-","-","-","-","2077","20090","0","19135"
"RECTANGLE","64","128","10","C",="-O2","236","280","0","312","828","-","-","-","-","-","-","-","-","-","-","2077","21039","0","20116"
"RECTANGLE","64","128","10","C",="-O1","220","264","0","308","792","-","-","-","-","-","-","-","-","-","-","2371","22553","0","23953"
"RECTANGLE","64","128","10","C",="-Os","212","230","0","286","728","-","-","-","-","-","-","-","-","-","-","2460","22966","0","23474"
"RECTANGLE","64","128","11","C",="-O3","236","416","0","532","1184","-","-","-","-","-","-","-","-","-","-","2304","20963","0","23655"
"RECTANGLE","64","128","11","C",="-O2","236","252","0","284","772","-","-","-","-","-","-","-","-","-","-","2304","22870","0","24563"
"RECTANGLE","64","128","11","C",="-O1","216","232","0","296","744","-","-","-","-","-","-","-","-","-","-","1927","24917","0","29283"
"RECTANGLE","64","128","11","C",="-Os","213","200","0","282","695","-","-","-","-","-","-","-","-","-","-","2133","25135","0","26365"
"RECTANGLE","64","128","12","C",="-O3","236","2768","0","2972","5976","-","-","-","-","-","-","-","-","-","-","1965","19498","0","21266"
"RECTANGLE","64","128","12","C",="-O2","236","2604","0","2724","5564","-","-","-","-","-","-","-","-","-","-","1965","21397","0","22181"
"RECTANGLE","64","128","12","C",="-O1","216","2304","0","2472","4992","-","-","-","-","-","-","-","-","-","-","2060","21003","0","23066"
"RECTANGLE","64","128","12","C",="-Os","213","2284","0","2450","4947","-","-","-","-","-","-","-","-","-","-","2077","21014","0","22306"
"RECTANGLE","64","128","13","C",="-O3","236","412","0","532","1180","-","-","-","-","-","-","-","-","-","-","2036","19731","0","19702"
"RECTANGLE","64","128","13","C",="-O2","236","248","0","284","768","-","-","-","-","-","-","-","-","-","-","2036","21585","0","21582"
"RECTANGLE","64","128","13","C",="-O1","216","224","0","280","720","-","-","-","-","-","-","-","-","-","-","2060","21467","0","24683"
"RECTANGLE","64","128","13","C",="-Os","213","204","0","278","695","-","-","-","-","-","-","-","-","-","-","2133","25567","0","24093"
"RECTANGLE","64","128","14","C",="-O3","236","2624","0","3036","5896","-","-","-","-","-","-","-","-","-","-","1965","17467","0","19987"
"RECTANGLE","64","128","14","C",="-O2","236","2460","0","2788","5484","-","-","-","-","-","-","-","-","-","-","1965","19351","0","20919"
"RECTANGLE","64","128","14","C",="-O1","216","2056","0","2456","4728","-","-","-","-","-","-","-","-","-","-","1927","19364","0","21347"
"RECTANGLE","64","128","14","C",="-Os","213","2038","0","2432","4683","-","-","-","-","-","-","-","-","-","-","2215","20058","0","21405"
"Speck","64","128","07","C",="-O3","180","300","0","432","912","-","-","-","-","-","-","-","-","-","-","408","7123","0","12182"
"Speck","64","128","07","C",="-O2","68","136","0","184","388","-","-","-","-","-","-","-","-","-","-","749","8977","0","14014"
"Speck","64","128","07","C",="-O1","64","132","0","192","388","-","-","-","-","-","-","-","-","-","-","598","12653","0","15162"
"Speck","64","128","07","C",="-Os","64","112","0","168","344","-","-","-","-","-","-","-","-","-","-","729","11062","0","14898"
"Speck","64","128","08","C",="-O3","180","708","0","940","1828","-","-","-","-","-","-","-","-","-","-","394","5571","0","8039"
"Speck","64","128","08","C",="-O2","68","544","0","692","1304","-","-","-","-","-","-","-","-","-","-","547","7478","0","8886"
"Speck","64","128","08","C",="-O1","64","540","0","700","1304","-","-","-","-","-","-","-","-","-","-","575","8029","0","9325"
"Speck","64","128","08","C",="-Os","64","520","0","676","1260","-","-","-","-","-","-","-","-","-","-","655","7231","0","8493"
"Speck","64","128","09","C",="-O3","180","300","0","432","912","-","-","-","-","-","-","-","-","-","-","408","5779","0","10486"
"Speck","64","128","09","C",="-O2","68","136","0","184","388","-","-","-","-","-","-","-","-","-","-","749","7633","0","12318"
"Speck","64","128","09","C",="-O1","64","132","0","192","388","-","-","-","-","-","-","-","-","-","-","598","7645","0","13050"
"Speck","64","128","09","C",="-Os","64","112","0","166","342","-","-","-","-","-","-","-","-","-","-","676","11454","0","11926"
"Speck","64","128","10","C",="-O3","180","604","0","836","1620","-","-","-","-","-","-","-","-","-","-","394","4179","0","5751"
"Speck","64","128","10","C",="-O2","68","440","0","588","1096","-","-","-","-","-","-","-","-","-","-","547","6086","0","6598"
"Speck","64","128","10","C",="-O1","64","436","0","596","1096","-","-","-","-","-","-","-","-","-","-","575","6045","0","7837"
"Speck","64","128","10","C",="-Os","64","416","0","572","1052","-","-","-","-","-","-","-","-","-","-","655","6495","0","6893"
"SPARX","64","128","36","C",="-O3","228","480","0","604","1272","-","-","-","-","-","-","-","-","-","-","1631","45654","0","42688"
"SPARX","64","128","36","C",="-O2","228","316","0","356","860","-","-","-","-","-","-","-","-","-","-","1631","46579","0","43698"
"SPARX","64","128","36","C",="-O1","248","316","0","372","896","-","-","-","-","-","-","-","-","-","-","1589","46725","0","44045"
"SPARX","64","128","36","C",="-Os","238","298","0","350","848","-","-","-","-","-","-","-","-","-","-","1731","51290","0","46157"
"SPARX","64","128","37","C",="-O3","160","468","0","592","1184","-","-","-","-","-","-","-","-","-","-","1258","36355","0","36774"
"SPARX","64","128","37","C",="-O2","160","304","0","344","772","-","-","-","-","-","-","-","-","-","-","1258","38209","0","38606"
"SPARX","64","128","37","C",="-O1","172","312","0","364","812","-","-","-","-","-","-","-","-","-","-","1140","37380","0","39107"
"SPARX","64","128","37","C",="-Os","166","292","0","332","758","-","-","-","-","-","-","-","-","-","-","1430","43726","0","43702"
"SPARX","64","128","38","C",="-O3","136","440","0","560","1108","-","-","-","-","-","-","-","-","-","-","987","28019","0","30583"
"SPARX","64","128","38","C",="-O2","136","276","0","312","696","-","-","-","-","-","-","-","-","-","-","987","29926","0","31430"
"SPARX","64","128","38","C",="-O1","132","264","0","320","688","-","-","-","-","-","-","-","-","-","-","894","25813","0","31485"
"SPARX","64","128","38","C",="-Os","134","254","0","294","654","-","-","-","-","-","-","-","-","-","-","900","26879","0","31101"
"SPARX","64","128","39","C",="-O3","356","564","0","660","1580","-","-","-","-","-","-","-","-","-","-","617","15690","0","18129"
"SPARX","64","128","39","C",="-O2","148","400","0","412","960","-","-","-","-","-","-","-","-","-","-","805","17589","0","19030"
"SPARX","64","128","39","C",="-O1","144","340","0","404","888","-","-","-","-","-","-","-","-","-","-","869","18373","0","20109"
"SPARX","64","128","39","C",="-Os","144","374","0","384","902","-","-","-","-","-","-","-","-","-","-","775","18302","0","19110"
"SPARX","64","128","40","C",="-O3","356","2216","0","2160","4732","-","-","-","-","-","-","-","-","-","-","617","15722","0","16387"
